id,colour,size,width,brand,model,price,type,count,rating,no_rating,link
147942,Gunmetal,Medium,135 mm,Vincent Chase,VC E11560-M,1700,eyeframe,19724,4.5,56,https://www.lenskart.com/vincent-chase-vc-e11560-m-c2-full-rim-round-eyeglasses.html
210297,Maroon,Narrow,133 mm,Vincent Chase,VC E12898,1700,eyeframe,3823,0.0,0,https://www.lenskart.com/vincent-chase-vc-e12898-c121-eyeglasses.html
216405,Black,Narrow,132 mm,Vincent Chase,VC E16791,1700,eyeframe,936,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16791-c1-eyeglasses.html
112983,,,,Alcon Freshlook,Alcon Freshlook Brown Powered Bi-Weekly,699,contact_lens,46960,4.05,48,https://www.lenskart.com/freshlook-colorblends-brown-color-lenses-2-lens-per-box-alcon.html
146459,Black,Medium,137 mm,Lenskart Blu,LB E13738,1500,non_power_reading,60078,4.45,133,https://www.lenskart.com/lenskart-blu-lb-e13738-c1-eyeglasses.html
20305,,,,Biotrue,Bio True Contact Lens Solution 120 ml,330,contact_lens_solution,44771,4.8,44,https://www.lenskart.com/bio-true-lens-solution-120ml.html
209586,Gunmetal,Narrow,135 mm,Vincent Chase Polarized,VC S13121,2000,sunglasses,3512,5.0,1,https://www.lenskart.com/vincent-chase-vc-s13121-c9-sunglasses.html
146526,Blue,Wide,140 mm,Lenskart Blu,LB E13737,1500,non_power_reading,44900,4.45,123,https://www.lenskart.com/lenskart-blu-lb-e13737-c2-eyeglasses.html
217206,Denim,Narrow,134 mm,Lenskart Hustlr,LH E16985-N,1700,eyeframe,2930,0.0,0,https://www.lenskart.com/lenskart-hustlr-lh-e16985-N-c1-eyeglasses.html
200535,Blue,Medium,136 mm,Lenskart Air,LA E14827,1700,eyeframe,17795,4.75,21,https://www.lenskart.com/lenskart-air-la-e14827-c2-eyeglasses.html
136183,Black,Wide,139 mm,ThinOptics,Go-Reader Glasses With Case,1100,non_power_reading,51059,4.2,133,https://www.lenskart.com/black-full-rim-rectangle-thinoptics-go-reader-glasses-with-case-reading-eyeglasses-only-for-1-50-power.html
211928,Blue,Wide,138 mm,Vincent Chase,VC E16237,1700,eyeframe,2538,0.0,0,https://www.lenskart.com/vincent-chase-vc-e16237-c1-eyeglasses.html
140400,Gunmetal,Narrow,132 mm,Vincent Chase,VC E10425,1700,eyeframe,30602,4.5,219,https://www.lenskart.com/vincent-chase-vincent-chase-vc-e10425-c8-eyeglasses.html
208182,Black,Extra Wide,144 mm,John Jacobs,JJ S15574,6000,sunglasses,4115,3.0,3,https://www.lenskart.com/john-jacobs-jj-s15574-c1-sunglasses.html
211302,Blue,Medium,134 mm,Vincent Chase,VC E10502-M,1700,eyeframe,4874,0.0,0,https://www.lenskart.com/vincent-chase-vc-e10502-m-c1-eyeglasses.html
212973,Jade Green,Narrow,134 mm,Lenskart Hustlr,LA E15417-N,1700,eyeframe,4947,0.0,0,https://www.lenskart.com/lenskart-hustlr-la-e15417-s-c3-eyeglasses.html
